Title;Issn;SJR
Science Robotics;24709476;5126
Foundations and Trends in Machine Learning;19358245, 19358237;5120
ISME Journal;17517362, 17517370;5073
Springer Monographs in Mathematics;14397382;5061
Energy Storage Materials;24058297;5044
Journal of International Business Studies;00472506, 14786990;4994
Endocrine Reviews;19457189, 0163769X;4991
Journal of Computer-Mediated Communication;10836101;4987
Journal of Business Venturing;8839026;4977
Biological Reviews;1469185X, 14647931;4974
ACS Central Science;23747951, 23747943;4964
Annual Review of Medicine;1545326X, 00664219;4948
Review of Environmental Economics and Policy;17506824, 17506816;4923
Duke Mathematical Journal;15477398, 00127094;4907
JACC: Cardiovascular Imaging;1936878X, 18767591;4902
Annals of Neurology;15318249, 03645134;4900
Annual Review of Physical Chemistry;0066426X, 15451593;4888
Organizational Research Methods;15527425, 10944281;4888
Trends in Neurosciences;03785912, 01662236, 1878108X;4871
International Organization;15315088, 00208183;4850
EMBO Molecular Medicine;17574676, 17574684;4816
Psychological Review;19391471, 0033295X;4816
Journal of the American Statistical Association;01621459, 1537274X;4814
Materials Horizons;20516347, 20516355;4798
Journal of Human Resources;15488004, 0022166X;4777
Journal of Financial Intermediation;10960473, 10429573;4747
Current Protocols in Bioinformatics;19343396, 1934340X;4743
Annals of Internal Medicine;15393704, 00034819;4738
Nature Reviews Nephrology;1759507X, 17595061;4726
Annals of Statistics;905364;4723
Leadership Quarterly;10489843;4694
Circulation Research;00097330, 15244571;4685
Progress in Lipid Research;18732194, 01637827;4682
Issues in Ecology;10928987;4674
ACS Catalysis;21555435;4633
Journal of Management Studies;00222380, 14676486;4608
Cancer immunology research;23266066, 23266074;4598
Annual Review of Earth and Planetary Sciences;846597;4596
Molecular Cancer;14764598;4581
Progress in Human Geography;14770288, 03091325;4568
EMBO Reports;14693178, 1469221X;4557
Critical Reviews in Biochemistry and Molecular Biology;10409238, 15497798;4542
Journal of Personality and Social Psychology;223514;4539
Trends in Plant Science;13601385, 18784372;4539
Earth System Science Data;18663516, 18663508;4532
MIS Quarterly: Management Information Systems;02767783, 21629730;4531
International Review of Sport and Exercise Psychology;1750984X, 17509858;4504
PLoS Biology;15449173, 15457885;4488
Ocular Surface;15420124;4487
JAMA Neurology;21686157, 21686149;4485
Human Reproduction Update;14602369, 13554786;4478
JAMA Pediatrics;21686211, 21686203;4466
Genetics in Medicine;10983600, 15300366;4465
Perspectives in Medicinal Chemistry;11773910, 1177391X;4450
Current Opinion in Microbiology;18790364, 13695274;4418
Ophthalmology;15494713, 01616420;4414
Journal of the American Society of Nephrology : JASN;15333450, 10466673;4402
Nature Reviews Cardiology;17595010, 17595002;4395
IEEE Transactions on Cybernetics;21682275, 21682267;4393
Annual Review of Criminology;25724568;4381
Current Opinion in Neurobiology;09594388, 18736882;4380
Acta Numerica;14740508, 09624929;4358
Ecological Monographs;129615;4353
Political Analysis;10471987, 14764989;4321
Journal of the Association of Environmental and Resource Economists;23335963, 23335955;4310
Global Environmental Change;09593780, 18729495;4304
Criminology;17459125, 00111384;4297
Trends in Microbiology;18784380, 0966842X;4288
Journal of Politics;14682508, 00223816;4286
Communications on Pure and Applied Mathematics;00103640, 10970312;4271
IMF Economic Review;2041417X, 20414161;4268
Annual Review of Nutrition;01999885, 15454312;4262
Current Opinion in Plant Biology;18790356, 13695266;4262
Persoonia;315850;4256
Internet and Higher Education;10967516;4247
Neuro-Oncology;15228517, 15235866;4241
Psychological Inquiry;15327965, 1047840X;4235
Clinical Infectious Diseases;15376591, 10584838;4226
Molecular Plant;16742052, 17529867;4219
Applied Catalysis B: Environmental;18733883, 09263373;4217
The Lancet Planetary Health;25425196;4205
Global Change Biology;13652486, 13541013;4198
The Lancet Haematology;23523026;4196
Trends in Pharmacological Sciences;18733735, 01656147;4195
Journal for ImmunoTherapy of Cancer;20511426;4194
Journal of Occupational Health Psychology;19391307, 10768998;4192
Annual Review of Political Science;10942939, 15451577;4185
Frontiers in Ecology and the Environment;15409295, 15409309;4162
Surface Science Reports;01675729, 1879274X;4154
Wiley Interdisciplinary Reviews: RNA;17577012, 17577004;4145
Quantitative Economics;17597323, 17597331;4126
International Journal of Computer Vision;09205691, 15731405;4121
Arthritis and Rheumatology;23265191, 23265205;4113
npj Quantum Information;20566387;4098
Wiley Interdisciplinary Reviews: Computational Molecular Science;17590876, 17590884;4091
Advanced Drug Delivery Reviews;0169409X, 18728294;4082
Current Opinion in Structural Biology;1879033X, 0959440X;4070
Trends in Molecular Medicine;1471499X, 14714914;4065
Social Issues and Policy Review;17512409, 17512395;4061
Cancer Research;00085472, 15387445;4051
Coordination Chemistry Reviews;108545;4044
Molecular Neurodegeneration;17501326;4040
Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining;-;4027
IEEE Communications Magazine;1636804;4025
ACM Transactions on Graphics;15577368, 07300301;4014
Laser and Photonics Reviews;18638880, 18638899;4014
Cold Spring Harbor perspectives in medicine;21571422;4012
IEEE Transactions on Evolutionary Computation;1089778X;3993
Automatica;51098;3984
Methods in Ecology and Evolution;2041210X;3984
Applied Physics Reviews;19319401;3983
Journal of Supply Chain Management;15232409, 1745493X;3983
International Journal of Machine Tools and Manufacture;8906955;3979
Annual Review of Virology;23270578, 2327056X;3977
Chemistry of Materials;15205002, 08974756;3971
Leukemia;08876924, 14765551;3966
Modern Language Journal;15404781, 00267902;3966
Trends in Cancer;24058033;3961
Current Biology;18790445, 09609822;3958
Journal of Operations Management;2726963;3957
Annual Review of Environment and Resources;15452050, 15435938;3947
Current Climate Change Reports;21986061;3945
Journal of Heart and Lung Transplantation;15573117, 10532498;3945
Sociology of Education;00380407, 19398573;3926
Annual Review of Financial Economics;19411367, 19411375;3920
Drug Resistance Updates;13687646, 15322084;3920
Journal of Public Economics;472727;3917
Economic Policy;02664658, 14680327;3916
Annual Review of Sociology;03600572, 15452115;3912
SIAM Review;10957200, 00361445;3910
IEEE Transactions on Automatic Control;00189286, 15582523;3908
Acta Crystallographica Section D: Structural Biology;20597983;3906
IEEE Journal on Selected Areas in Communications;7338716;3885
Trends in Endocrinology and Metabolism;10432760, 18793061;3884
Medical Image Analysis;13618415, 13618423;3877
mBio;21612129, 21507511;3876
IEEE Transactions on Systems, Man, and Cybernetics Part A:Systems and Humans;10834427;3868
Annales Scientifiques de l'Ecole Normale Superieure;129593;3867
Current Opinion in Immunology;9527915;3860
American Journal of Sociology;00029602, 15375390;3856
Annual Review of Biomedical Engineering;15239829, 15454274;3840
Foundations and Trends in Signal Processing;19328346, 19328354;3839
World Bank Research Observer;15646971, 02573032;3834
Journal of Climate;15200442, 08948755;3823
Structural Equation Modeling;15328007, 10705511;3822
British Journal of Political Science;00071234, 14692112;3820
Annual Review of Vision Science;23744650, 23744642;3817
Current Opinion in Genetics and Development;0959437X, 18790380;3809
Journal of Abnormal Psychology;1939843X, 0021843X;3809
Educational Psychology Review;1040726X, 1573336X;3805
American Economic Journal: Microeconomics;19457669, 19457685;3792
Economic Geography;130095;3790
Ageing Research Reviews;15681637;3789
Review of Economic Dynamics;10966099, 10942025;3777
Journal of International Economics;221996;3774
npj 2D Materials and Applications;23977132;3769
Health Affairs;02782715, 15445208;3766
IEEE Wireless Communications;15361284;3764
International Journal of Engineering Science;207225;3764
Annals of Surgery;15281140, 00034932;3762
JAMA Surgery;21686262, 21686254;3757
Chemical Science;20416520, 20416539;3756
Signal Transduction and Targeted Therapy;20593635, 20959907;3755
Earth-Science Reviews;128252;3750
PLoS Genetics;15537390, 15537404;3744
Geometry and Topology;13640380, 14653060;3736
Journal of Consumer Psychology;15327663, 10577408;3733
Small;16136829, 16136810;3717
British Journal of Sports Medicine;03063674, 14730480;3712
New Phytologist;14698137, 0028646X;3702
Journal of Neuroscience;02706474, 15292401;3701
Journal of Allergy and Clinical Immunology;10976825, 00916749;3700
BMC Biology;17417007;3698
Cement and Concrete Research;88846;3686
Journal of Structural Biology;10478477, 10958657;3684
Educational Researcher;0013189X;3678
Neuroscience and Biobehavioral Reviews;18737528, 01497634;3672
Proceedings - 2016 IEEE Symposium on Security and Privacy, SP 2016;-;3667
Nature Human Behaviour;23973374;3664
Acta Materialia;13596454;3662
Development (Cambridge);14779129, 09501991;3658
Bulletin of the American Meteorological Society;15200477, 00030007;3654
Educational Psychologist;15326985, 00461520;3652
Annual Review of Statistics and Its Application;23268298, 2326831X;3651
Multivariate Behavioral Research;00273171, 15327906;3650
Academy of Management Perspectives;15589080;3649
Seminars in Immunology;10445323, 10963618;3648
Review of Finance;1573692X, 15723097;3647
Mucosal Immunology;19353456, 19330219;3643
IEEE Geoscience and Remote Sensing Magazine;21686831;3642
PLoS Pathogens;15537374, 15537366;3640
Journal of the European Mathematical Society;14359855, 14359863;3639
Renewable and Sustainable Energy Reviews;13640321;3632
Journal of Differential Geometry;0022040X, 1945743X;3623
Cancer Treatment Reviews;3057372;3619
Periodontology 2000;09066713, 16000757;3618
Plant Physiology;00320889, 15322548;3616
Applied Energy;3062619;3607
Journal of Organizational Behavior;10991379, 08943796;3606
Schizophrenia Bulletin;05867614, 17451701;3604
Epidemiologic Reviews;14786729, 0193936X;3598
Digest of Technical Papers - IEEE International Solid-State Circuits Conference;1936530;3595
IEEE Transactions on Sustainable Energy;19493029;3593
Proceedings of the Annual International Conference on Mobile Computing and Networking, MOBICOM;-;3592
IEEE Transactions on Smart Grid;19493053;3590
Physical Review Letters;10797114, 00319007;3588
Journal of Development Economics;3043878;3585
Surveys in Operations Research and Management Science;18767354, 18767362;3583
Political Behavior;01909320, 15736687;3581
Bioinformatics;13674811, 13674803;3567
Journal of the American Society of Echocardiography;10976795, 08947317;3567
Sleep Medicine Reviews;15322955, 10870792;3567
Entrepreneurship: Theory and Practice;10422587, 15406520;3566
Conservation Letters;1755263X;3563
Translation;2169074X, 21690731;3560
IEEE Transactions on Neural Networks and Learning Systems;2162237X, 21622388;3555
International Journal of Epidemiology;14643685, 03005771;3555
BMC Medicine;17417015;3552
npj Breast Cancer;23744677;3545
Autophagy;15548627;3541
Remote Sensing of Environment;344257;3541
Annales de l'Institut Henri Poincare. Annales: Analyse Non Lineaire/Nonlinear Analysis;2941449;3540
Operations Research;0030364X, 15265463;3539
Global Ecology and Biogeography;14668238, 1466822X;3535
Psychotherapy and Psychosomatics;00333190, 14230348;3530
WIREs Climate Change;17577799, 17577780;3527
Memoirs of the American Mathematical Society;659266;3520
Geometric and Functional Analysis;14208970, 1016443X;3508
Journal of Financial and Quantitative Analysis;00221090, 17566916;3503
Annals of Probability;911798;3500
Comparative Political Studies;15523829, 00104140;3500
Nous;14680068, 00294624;3497
RAND Journal of Economics;17562171, 07416261;3496
Molecular Therapy;15250024, 15250016;3489
mSystems;23795077;3489
Nature Sustainability;23989629;3488
Economic Development and Cultural Change;00130079, 15392988;3483
International Journal of Management Reviews;14608545, 14682370;3482
Seminars in Cancer Biology;10963650, 1044579X;3476
Progress in Neurobiology;18735118, 03010082;3475
Intensive Care Medicine;14321238, 03424642;3473
Review of Accounting Studies;15737136, 13806653;3473
European Journal of Epidemiology;03932990, 15737284;3466
Journal of the National Comprehensive Cancer Network : JNCCN;15401413, 15401405;3455
npj Computational Materials;20573960;3440
IEEE Transactions on Power Systems;8858950;3434
Political Communication;10584609, 10917675;3434
Journal of Materials Chemistry A;20507496, 20507488;3432
Diabetes;121797;3425
Kidney International;00852538, 15231755;3425
Natural Product Reports;02650568, 14604752;3421
Archive for Rational Mechanics and Analysis;00039527, 14320673;3420
Research Synthesis Methods;17592879, 17592887;3413
Studies in Mycology;1660616;3411
European Journal of Cancer;09598049, 18790852;3410
European Respiratory Journal;09031936, 13993003;3398
Nature Reviews Rheumatology;17594790, 17594804;3390
Reviews in Mineralogy and Geochemistry;15296466;3381
R Journal;20734859;3375
Journal of Advertising;15577805, 00913367;3373
Proceedings - IEEE Symposium on Security and Privacy;10816011;3372
Journal of Service Research;10946705, 15527379;3370
Pharmacology and Therapeutics;1879016X, 01637258;3348
Current Directions in Psychological Science;14678721, 09637214;3346
Transportation Research, Part C: Emerging Technologies;0968090X;3342
Circulation. Heart failure;19413297, 19413289;3339
Probability Theory and Related Fields;01788051, 14322064;3337
Astrophysical Journal, Supplement Series;15384365, 00670049;3335
Frontiers in Neuroendocrinology;00913022, 10956808;3333
European Journal of Political Research;03044130, 14756765;3327
Cell Death and Differentiation;13509047, 14765403;3325
Journal of Public Administration Research and Theory;14779803, 10531858;3321
Journal of the American Academy of Child and Adolescent Psychiatry;08908567, 15275418;3318
Tobacco Control;09644563, 14683318;3318
Journal of Econometrics;3044076;3313
Astrophysical Journal Letters;20418213, 20418205;3303
Psychological Science;09567976, 14679280;3303
Alimentary Pharmacology and Therapeutics;02692813, 13652036;3298
Proceedings - 2016 IEEE European Symposium on Security and Privacy, EURO S and P 2016;-;3297
Sports Medicine;01121642, 11792035;3290
Annual Review of Nuclear and Particle Science;1638998;3289
Journal of Interactive Marketing;10949968, 15206653;3289
Journal of Engineering Education;10694730, 21689830;3288
Cell Chemical Biology;24519448, 24519456;3283
Aging Cell;14749726, 14749718;3280
Probability Surveys;15495787;3280
RNA;13558382, 14699001;3280
American Journal of Mathematics;10806377, 00029327;3279
IEEE Transactions on Medical Imaging;02780062, 15580062;3276
Journal of Educational Psychology;19392176, 00220663;3272
Journal of Molecular Biology;00222836, 10898638;3268
Journal of Neurology, Neurosurgery and Psychiatry;1468330X, 00223050;3265
npj Quantum Materials;23974648;3261
Health Psychology Review;17437202, 17437199;3259
Journal of Communication;00219916, 14602466;3259
American Journal of Obstetrics and Gynecology;00029378, 10976868;3251
Journal of Topology;17538416, 17538424;3251
Big Data and Society;20539517;3249
The Philosophical Review;318108;3249
Thorax;14683296, 00406376;3248
Research Policy;487333;3246
Gut Microbes;19490984, 19490976;3245
Strategic Entrepreneurship Journal;19324391, 1932443X;3245
American Journal of Sports Medicine;03635465, 15523365;3243
Proceedings - 2016 43rd International Symposium on Computer Architecture, ISCA 2016;-;3238
Studies in Second Language Acquisition;2722631;3238
Information Systems Research;15265536, 10477047;3235
Materials Today Physics;25425293;3235
Nanoscale Horizons;20556764, 20556756;3234
Oncogene;14765594, 09509232;3232
Journal of Hematology and Oncology;17568722;3231
The Lancet Child and Adolescent Health;23524642;3231
Genomics, Proteomics and Bioinformatics;16720229;3224
American Educational Research Journal;00028312, 19351011;3223
Journal of Child Psychology and Psychiatry and Allied Disciplines;00219630, 14697610;3218
Journal of Thoracic Oncology;15561380, 15560864;3218
Educational Research Review;1747938X;3216
Education Finance and Policy;15573079, 15573060;3214
International Journal of Robotics Research;02783649, 17413176;3212
Educational Evaluation and Policy Analysis;01623737, 19351062;3210
Cerebral Cortex;10473211, 14602199;3208
Microbial genomics;20575858;3208
NeuroImage;10959572, 10538119;3207
Plant Biotechnology Journal;14677644, 14677652;3204
Proceedings - Annual IEEE Symposium on Foundations of Computer Science, FOCS;2725428;3203
Stem Cell Reports;22136711;3201
Transport Reviews;01441647, 14645327;3196
Materials Research Letters;21663831;3195
Journal of Peace Research;223433;3190
Diabetologia;0012186X, 14320428;3181
Geoscientific Model Development;1991959X, 19919603;3180
JCI insight;23793708;3176
Compositio Mathematica;0010437X, 15705846;3175
Transactions of the Institute of British Geographers;00202754, 14755661;3171
Plant Journal;1365313X, 09607412;3161
Ecography;16000587, 09067590;3155
Applied Linguistics;01426001, 1477450X;3148
Journal of Retailing;224359;3146
Journal of Teacher Education;00224871, 15527816;3142
